# Constructed from biom file
#OTU ID	2280-046-AD01	2280-047-AD07	2280-048-B001	2280-049-B007	2280-050-B013	2280-051-B019	2280-052-N006	2280-053-N012	2280-054-AD02	2280-055-AD08	2280-056-B002	2280-057-B008	2280-058-B014	2280-059-N001	2280-060-N007	2280-061-N013	2280-062-AD03	2280-063-AD09	2280-064-B003	2280-065-B009	2280-066-B015	2280-067-N002	2280-068-N008	2280-069-N014	2280-070-AD04	2280-071-AD10	2280-072-B004	2280-073-B010	2280-074-B016	2280-075-N003	2280-076-N009	2280-077-AD06	2280-078-AD05	2280-079-AD11	2280-081-B011	2280-082-B017	2280-083-N004	2280-084-N010	2280-085-B006	2280-086-B012	2280-087-B018	2280-088-N005	2280-089-N011
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Pacebacteria;f__Candidatus_Pacebacteria;g__Candidatus_Pacebacteria	0.0	0.0	10.0	40.0	0.0	0.0	95.0	0.0	30.0	0.0	25.0	15.0	50.0	113.0	57.0	0.0	0.0	0.0	20.0	9.0	0.0	72.0	68.0	0.0	0.0	8.0	56.0	0.0	0.0	77.0	18.0	0.0	0.0	0.0	17.0	0.0	54.0	0.0	4.0	0.0	21.0	55.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__	31.0	6.0	0.0	0.0	28.0	17.0	0.0	39.0	2.0	0.0	0.0	3.0	99.0	0.0	6.0	63.0	0.0	0.0	0.0	0.0	60.0	0.0	25.0	5.0	87.0	0.0	108.0	0.0	59.0	0.0	65.0	25.0	50.0	0.0	25.0	21.0	0.0	88.0	0.0	29.0	52.0	22.0	41.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Nomurabacteria;f__Candidatus_Nomurabacteria;g__Candidatus_Nomurabacteria	4.0	80.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	106.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	102.0	0.0	0.0	21.0	21.0	0.0	9.0	0.0	0.0	0.0	64.0	49.0	62.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	70.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__	170.0	23.0	9.0	65.0	27.0	2.0	160.0	12.0	19.0	0.0	10.0	75.0	24.0	82.0	51.0	4.0	2.0	0.0	0.0	30.0	20.0	45.0	44.0	2.0	29.0	0.0	28.0	72.0	31.0	137.0	93.0	0.0	87.0	0.0	72.0	5.0	182.0	39.0	57.0	55.0	11.0	176.0	0.0
d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantales;g__Aminicenantales	77.0	0.0	32.0	57.0	2.0	0.0	93.0	2.0	73.0	21.0	0.0	18.0	0.0	78.0	84.0	0.0	0.0	0.0	55.0	0.0	0.0	89.0	72.0	0.0	3.0	0.0	41.0	27.0	191.0	119.0	90.0	0.0	58.0	0.0	30.0	5.0	109.0	65.0	37.0	0.0	0.0	75.0	2.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	38.0	0.0	0.0	104.0	0.0	14.0	0.0	36.0	130.0	13.0	0.0	118.0	99.0	65.0	116.0	68.0	10.0	0.0	0.0	2.0	0.0	11.0	99.0	36.0	31.0	0.0	0.0	51.0	0.0	47.0	49.0	14.0	41.0	0.0	63.0	0.0	0.0	30.0	17.0	0.0	26.0	0.0	155.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Aquabacterium	65.0	0.0	0.0	0.0	36.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	28.0	0.0	0.0	0.0	64.0	0.0	10.0	96.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__Izemoplasmataceae;g__Izemoplasmataceae	7.0	358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	121.0	0.0	0.0	0.0	0.0	0.0	272.0	84.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Archaea;p__Halobacterota;__;__;__;__	0.0	37.0	55.0	58.0	0.0	14.0	39.0	69.0	0.0	65.0	0.0	57.0	52.0	24.0	47.0	0.0	0.0	21.0	51.0	55.0	34.0	32.0	62.0	16.0	53.0	0.0	38.0	64.0	0.0	41.0	0.0	0.0	35.0	0.0	49.0	43.0	52.0	44.0	72.0	27.0	0.0	51.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	30.0	0.0	0.0	20.0	0.0	125.0	6.0	134.0	0.0	2.0	0.0	0.0	3.0	0.0	9.0	192.0	2.0	0.0	0.0	0.0	43.0	0.0	0.0	193.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	2.0	0.0	6.0	0.0	137.0	3.0	0.0	13.0	5.0	127.0	103.0	187.0
