# Constructed from biom file
#OTU ID	2280-046-AD01	2280-047-AD07	2280-048-B001	2280-049-B007	2280-050-B013	2280-051-B019	2280-052-N006	2280-053-N012	2280-054-AD02	2280-055-AD08	2280-056-B002	2280-057-B008	2280-058-B014	2280-059-N001	2280-060-N007	2280-061-N013	2280-062-AD03	2280-063-AD09	2280-064-B003	2280-065-B009	2280-066-B015	2280-067-N002	2280-068-N008	2280-069-N014	2280-070-AD04	2280-071-AD10	2280-072-B004	2280-073-B010	2280-074-B016	2280-075-N003	2280-076-N009	2280-077-AD06	2280-078-AD05	2280-079-AD11	2280-081-B011	2280-082-B017	2280-083-N004	2280-084-N010	2280-085-B006	2280-086-B012	2280-087-B018	2280-088-N005	2280-089-N011
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0.0	35.0	125.0	0.0	0.0	21.0	0.0	11.0	5.0	19.0	0.0	18.0	0.0	34.0	0.0	0.0	0.0	6.0	24.0	0.0	0.0	81.0	0.0	5.0	0.0	0.0	0.0	0.0	9.0	19.0	0.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__;__	32.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	2.0	34.0	0.0	0.0	0.0	8.0	0.0	0.0	32.0	73.0	0.0	0.0	11.0	11.0	0.0	0.0	11.0	0.0	0.0	62.0	0.0	0.0	0.0	23.0	51.0	33.0	0.0	0.0	19.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__uncultured	38.0	0.0	3.0	0.0	13.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	77.0	2.0	0.0	5.0	0.0	0.0	0.0	16.0	59.0	0.0	0.0	0.0	0.0	35.0	0.0	62.0	0.0	81.0	0.0	0.0	38.0	0.0
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__uncultured	78.0	0.0	26.0	0.0	0.0	0.0	17.0	0.0	0.0	11.0	15.0	0.0	0.0	50.0	14.0	0.0	0.0	16.0	4.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	12.0	0.0	20.0	5.0	0.0	37.0	0.0	0.0	0.0	0.0	32.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	25.0	0.0	0.0	11.0	0.0	86.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	10.0	85.0	127.0	92.0	8.0	0.0	0.0	18.0	0.0	3.0	88.0	86.0	12.0	0.0	0.0	0.0	12.0	0.0	306.0	17.0	0.0	11.0	0.0	0.0	4.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	6.0	138.0	7.0	8.0	0.0	45.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudohongiellaceae;g__Pseudohongiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Mongoliitalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	86.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sphaerochaeta	0.0	79.0	0.0	15.0	48.0	51.0	32.0	40.0	0.0	76.0	44.0	45.0	21.0	0.0	31.0	29.0	34.0	0.0	27.0	45.0	55.0	0.0	0.0	24.0	145.0	0.0	16.0	0.0	60.0	0.0	17.0	97.0	115.0	0.0	0.0	56.0	4.0	83.0	5.0	31.0	31.0	0.0	61.0
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__SHA-4;g__SHA-4	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	7.0	0.0	111.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__	24.0	15.0	0.0	0.0	0.0	33.0	0.0	14.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	33.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	34.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	39.0	3.0	0.0	56.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;__	41.0	57.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	81.0	33.0	0.0	0.0	0.0	0.0	0.0	5.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	55.0	0.0	0.0	0.0	0.0	0.0	88.0	143.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	4.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	0.0	53.0	100.0	53.0	0.0	8.0	17.0	0.0	0.0	0.0	113.0	11.0	0.0	12.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	20.0	9.0	0.0	26.0	0.0	0.0	0.0	9.0	26.0	0.0	3.0	46.0	0.0	16.0	14.0	29.0	7.0	61.0	4.0	0.0	11.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__p-251-o5;g__p-251-o5	0.0	0.0	0.0	9.0	0.0	0.0	8.0	9.0	0.0	11.0	0.0	81.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	14.0	0.0	10.0	5.0	0.0	0.0	0.0	10.0	0.0	12.0	0.0	21.0	0.0	0.0	17.0	0.0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22	0.0	0.0	0.0	28.0	0.0	0.0	0.0	18.0	8.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	3.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	64.0	62.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;__	0.0	104.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	70.0	0.0	3.0	0.0	0.0	0.0	56.0	27.0	22.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	155.0	111.0	8.0	0.0	2.0	11.0	43.0	32.0	4.0	183.0	6.0	13.0	0.0	84.0	39.0	4.0	35.0	205.0	0.0	2.0	4.0	61.0	14.0	9.0	8.0	200.0	0.0	0.0	5.0	59.0	33.0	86.0	102.0	223.0	8.0	0.0	69.0	9.0	0.0	0.0	2.0	17.0	18.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Anaerocella	0.0	0.0	0.0	0.0	68.0	11.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia;o__Hydrogenedentiales;f__Hydrogenedensaceae;g__Candidatus_Hydrogenedens	0.0	0.0	0.0	8.0	12.0	0.0	15.0	11.0	0.0	0.0	5.0	2.0	34.0	11.0	14.0	8.0	0.0	0.0	0.0	5.0	10.0	14.0	78.0	0.0	0.0	0.0	0.0	9.0	22.0	0.0	39.0	0.0	0.0	0.0	5.0	15.0	19.0	73.0	0.0	0.0	0.0	9.0	19.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	10.0	20.0	0.0	48.0	0.0	0.0	0.0	0.0	4.0	12.0	0.0	25.0	0.0	0.0	78.0	11.0	30.0	14.0	0.0	46.0	0.0	0.0	70.0	3.0	0.0	5.0	19.0	0.0	7.0	0.0	12.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	17.0	13.0	25.0	0.0	0.0	9.0	44.0	9.0	0.0	0.0	0.0	17.0	0.0	59.0	27.0	0.0	0.0	0.0	27.0	16.0	0.0	22.0	53.0	0.0	14.0	78.0	0.0	18.0	2.0	24.0	7.0	55.0	34.0	0.0	31.0	0.0	2.0	3.0	11.0	3.0	0.0	6.0	24.0
d__Bacteria;p__Firmicutes;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	32.0	0.0	0.0	61.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	48.0	0.0	0.0	0.0	0.0	31.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__DMER64	34.0	76.0	67.0	0.0	0.0	0.0	15.0	0.0	23.0	22.0	0.0	0.0	0.0	59.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	9.0	0.0	0.0	0.0	2.0	27.0	0.0	56.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	44.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	2.0	73.0	0.0	53.0	14.0	2.0	55.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Dechloromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	26.0	0.0	33.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Jorgensenbacteria;f__Candidatus_Jorgensenbacteria;g__Candidatus_Jorgensenbacteria	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	0.0	8.0	59.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	11.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallaceae	10.0	23.0	15.0	15.0	13.0	44.0	53.0	59.0	51.0	0.0	42.0	72.0	0.0	0.0	33.0	52.0	50.0	0.0	58.0	16.0	11.0	22.0	0.0	64.0	180.0	0.0	4.0	10.0	21.0	28.0	7.0	83.0	100.0	68.0	0.0	11.0	65.0	9.0	52.0	17.0	51.0	36.0	52.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__M2PB4-65_termite_group;g__M2PB4-65_termite_group	24.0	76.0	43.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	30.0	13.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	23.0	58.0	0.0	0.0	0.0	2.0	2.0	26.0	31.0	0.0	0.0	0.0	3.0	0.0	36.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	2.0	0.0	0.0	0.0	0.0	0.0	30.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0	0.0	0.0	0.0	0.0	71.0	0.0	111.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	18.0	0.0	0.0	30.0	0.0	41.0	0.0	68.0	0.0	0.0	0.0	0.0	26.0	0.0	56.0	0.0	0.0	43.0	5.0	48.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__053A03-B-DI-P58;f__053A03-B-DI-P58;g__053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	74.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;__	23.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	34.0	26.0	0.0	0.0	0.0	27.0	0.0	77.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	193.0	57.0	0.0	0.0	0.0	23.0	0.0	0.0	56.0	0.0	0.0	17.0	0.0	59.0	0.0	0.0	33.0	42.0	0.0	0.0	17.0	0.0	17.0	0.0	0.0	67.0	18.0	0.0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;__	0.0	0.0	0.0	11.0	30.0	0.0	28.0	16.0	0.0	0.0	0.0	70.0	10.0	0.0	16.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	67.0	6.0	0.0	0.0	6.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	22.0	0.0	17.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	6.0	38.0	0.0	0.0	17.0	11.0	0.0	0.0	5.0	23.0	0.0	3.0	31.0	0.0	0.0	0.0	4.0	7.0	2.0	40.0	50.0	0.0	0.0	12.0	0.0	15.0	0.0	30.0	0.0	0.0	0.0	15.0	22.0	0.0	134.0	0.0	63.0	7.0	6.0	18.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Acetoanaerobium	0.0	0.0	70.0	49.0	9.0	0.0	0.0	0.0	0.0	0.0	47.0	13.0	0.0	0.0	10.0	0.0	0.0	0.0	39.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	0.0	39.0	58.0	72.0	31.0	0.0	20.0	0.0	0.0	0.0	51.0	20.0	0.0	27.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	20.0	0.0	14.0	37.0	0.0	0.0	37.0	0.0	23.0	0.0	27.0	50.0	15.0	34.0	0.0	0.0	0.0	0.0	23.0	0.0	19.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	34.0	0.0	0.0	0.0	25.0	161.0	0.0	106.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	145.0	26.0	0.0	0.0	0.0	38.0	0.0	0.0	99.0	0.0	0.0	40.0	4.0	58.0	0.0	29.0	0.0	2.0	0.0	0.0	76.0	0.0	67.0	0.0	11.0	74.0	3.0	80.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;__	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum	0.0	0.0	0.0	123.0	19.0	28.0	0.0	17.0	0.0	0.0	27.0	6.0	7.0	5.0	3.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	49.0	3.0	11.0	20.0	14.0	0.0	11.0	0.0	0.0	0.0	12.0	24.0	0.0	33.0	0.0	21.0	17.0	0.0	32.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured	17.0	9.0	0.0	0.0	0.0	0.0	20.0	0.0	50.0	0.0	0.0	0.0	0.0	39.0	32.0	0.0	8.0	12.0	0.0	0.0	0.0	65.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	19.0	13.0	13.0	0.0	9.0	0.0	7.0	53.0	20.0	2.0	0.0	0.0	39.0	4.0
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__RBG-16-49-21	139.0	121.0	0.0	0.0	0.0	0.0	13.0	0.0	40.0	139.0	10.0	0.0	0.0	64.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	17.0	0.0	11.0	3.0	123.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	15.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	2.0	6.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	16.0	73.0	131.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Oligosphaerales;f__Oligosphaeraceae;g__ADurb.Bin063-2	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	63.0	22.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	71.0	0.0	0.0	11.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	4.0	0.0	20.0	0.0	0.0	0.0	71.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	5.0	5.0	8.0	14.0	13.0	0.0	0.0	0.0	5.0	5.0	15.0	0.0	0.0	0.0	0.0	10.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	5.0	37.0	38.0	38.0	28.0	24.0	31.0	6.0	2.0	0.0	86.0	2.0	11.0	0.0	26.0	0.0	40.0	42.0	226.0	26.0	0.0	35.0	45.0	0.0	34.0	0.0	3.0	89.0	0.0	0.0	26.0	110.0	13.0	2.0	8.0	11.0	9.0	2.0	129.0	4.0	45.0	32.0	51.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;__	7.0	25.0	0.0	0.0	0.0	0.0	57.0	6.0	0.0	7.0	0.0	15.0	8.0	40.0	65.0	0.0	0.0	16.0	0.0	6.0	10.0	29.0	45.0	0.0	50.0	6.0	8.0	9.0	13.0	54.0	33.0	85.0	68.0	13.0	25.0	0.0	57.0	17.0	9.0	4.0	0.0	44.0	6.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__uncultured	0.0	36.0	41.0	17.0	0.0	0.0	15.0	0.0	0.0	18.0	0.0	12.0	0.0	0.0	0.0	0.0	4.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	8.0	0.0	14.0	69.0	59.0	0.0	2.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__4572-13;g__4572-13	24.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	2.0	23.0	21.0	52.0	3.0	0.0	9.0	0.0	18.0	14.0	20.0	53.0	0.0	0.0	0.0	19.0	34.0	36.0	26.0	68.0	0.0	4.0	0.0	53.0	13.0	0.0	22.0	10.0	0.0	2.0	43.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Rheinheimera	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	2.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	90.0
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Pla1_lineage;f__Pla1_lineage;g__Pla1_lineage	0.0	2.0	0.0	10.0	9.0	11.0	45.0	16.0	0.0	0.0	0.0	20.0	13.0	14.0	67.0	0.0	2.0	30.0	0.0	9.0	6.0	18.0	61.0	8.0	0.0	33.0	7.0	0.0	15.0	39.0	39.0	0.0	0.0	33.0	21.0	0.0	40.0	32.0	12.0	6.0	0.0	42.0	18.0
